,weather_station,wban,report_type,latitude,longitude,elevation,wind_direction,wind_observation_direction_type,wind_speed,sky_ceiling,sky_ceiling_determination,visibility_distance,visibility_variability,visibility_variability_quality,dew_point,sea_level_pressure,air_temperature,humidity,precipitation_hours,precipitation_depth,cl_1_coverage,cl_1_base_height,cl_1_cloud_type,cl_2_coverage,cl_2_base_height,cl_2_cloud_type,cl_3_coverage,cl_3_base_height,cl_3_cloud_type,solar_irradiance
2020-01-01 00:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,140,,2.1,360,9,5000,9,9,3.4,1030.6,4.4,93.0,6.0,0.0,8.0,30.0,19.0,,,,,,,
2020-01-01 00:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,100,,2.1,MISSING,9,5000,9,9,2.0,MISSING,4.0,87.0,,,,,,,,,,,,
2020-01-01 00:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,070,,3.1,396,C,3200,9,9,1.0,MISSING,2.0,93.0,,,,,,,,,,,,
2020-01-01 01:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,070,,2.6,390,9,1700,9,9,2.0,1030.1,2.7,95.0,,,,,,,,,,,,
2020-01-01 01:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,080,,2.6,366,C,4500,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 01:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,080,,2.1,335,C,4700,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 02:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,080,,2.6,330,9,3700,9,9,3.9,1029.8,4.4,97.0,,,,,,,,,,,,
2020-01-01 02:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.5,305,C,5000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 02:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,0.5,305,C,5000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 03:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,150,,0.5,330,9,3900,9,9,3.6,1029.6,4.4,95.0,,,,,,,,,,,,
2020-01-01 03:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,060,,2.1,213,C,5000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 03:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,070,,2.1,335,9,5000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 04:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,080,,1.5,270,9,4000,9,9,3.6,1029.7,4.4,95.0,,,,,,,,,,,,
2020-01-01 04:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,070,,1.0,366,C,4900,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 04:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,070,,2.6,427,9,4600,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 05:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,070,,2.6,390,9,2800,9,9,3.6,1029.8,4.3,95.0,,,,,,,,,,,,
2020-01-01 05:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,070,,2.6,488,9,4100,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 05:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.5,152,C,4700,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 06:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,070,,1.0,150,9,3400,9,9,3.6,1029.8,4.3,95.0,12.0,0.0,,,,,,,,,,
2020-01-01 06:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,060,,1.5,366,9,4700,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 06:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,060,,1.0,427,C,4800,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 07:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,070,,1.0,420,C,3100,9,9,3.6,1029.9,4.3,95.0,,,,,,,,,,,,
2020-01-01 07:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,090,,0.5,427,C,5000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 07:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,240,,1.0,396,C,6000,9,9,3.0,MISSING,4.0,93.0,,,,,,,,,,,,
2020-01-01 08:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,220,,0.5,420,9,3300,9,9,3.7,1029.8,4.3,96.0,,,,,,,,,,,,
