,weather_station,wban,report_type,latitude,longitude,elevation,wind_direction,wind_observation_direction_type,wind_speed,sky_ceiling,sky_ceiling_determination,visibility_distance,visibility_variability,visibility_variability_quality,dew_point,sea_level_pressure,air_temperature,humidity,precipitation_hours,precipitation_depth,cl_1_coverage,cl_1_base_height,cl_1_cloud_type,cl_2_coverage,cl_2_base_height,cl_2_cloud_type,cl_3_coverage,cl_3_base_height,cl_3_cloud_type,solar_irradiance
2022-01-01 00:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,180,,3.6,90,9,6000,9,9,12.2,1020.2,12.6,97.0,6.0,0.0,8.0,792.0,19.0,,,,,,,
2022-01-01 00:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,3.6,91,C,6000,9,9,12.0,MISSING,13.0,94.0,,,,,,,,,,,,
2022-01-01 00:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,4.6,122,C,7000,9,9,12.0,MISSING,13.0,94.0,,,,,,,,,,,,
2022-01-01 01:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,190,,4.6,90,9,6000,9,9,12.2,1020.0,12.8,96.0,,,,,,,,,,,,
2022-01-01 01:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,4.1,122,C,7000,9,9,12.0,MISSING,13.0,94.0,,,,,,,,,,,,
2022-01-01 01:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,4.1,122,C,8000,9,9,12.0,MISSING,13.0,94.0,,,,,,,,,,,,
2022-01-01 02:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,190,,4.1,120,9,7000,9,9,11.9,1019.9,12.7,95.0,,,,,,,,,,,,
2022-01-01 02:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,210,,3.6,183,C,9999,9,9,12.0,MISSING,13.0,94.0,,,,,,,,,,,,
2022-01-01 02:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,4.1,244,C,9999,9,9,11.0,MISSING,13.0,88.0,,,,,,,,,,,,
2022-01-01 03:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,200,,4.1,180,9,10000,9,9,11.5,1020.1,12.7,92.0,,,,,,,,,,,,
2022-01-01 03:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,5.1,MISSING,9,9999,9,9,11.0,MISSING,13.0,88.0,,,,,,,,,,,,
2022-01-01 03:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,180,,5.1,22000,9,9999,9,9,11.0,MISSING,12.0,94.0,,,,,,,,,,,,
2022-01-01 04:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,180,,5.1,5700,9,12000,9,9,11.2,1019.6,12.4,92.0,,,,,,,,,,,,
2022-01-01 04:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,190,,5.1,MISSING,9,9999,9,9,11.0,MISSING,12.0,94.0,,,,,,,,,,,,
2022-01-01 04:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,200,,5.1,274,C,9999,9,9,11.0,MISSING,13.0,88.0,,,,,,,,,,,,
2022-01-01 05:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,200,,5.1,240,9,17000,9,9,11.3,1019.3,12.6,92.0,,,,,,,,,,,,
2022-01-01 05:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,200,,5.7,244,C,9999,9,9,11.0,MISSING,13.0,88.0,,,,,,,,,,,,
