,weather_station,wban,report_type,latitude,longitude,elevation,wind_direction,wind_observation_direction_type,wind_speed,sky_ceiling,sky_ceiling_determination,visibility_distance,visibility_variability,visibility_variability_quality,dew_point,sea_level_pressure,air_temperature,humidity,precipitation_hours,precipitation_depth,cl_1_coverage,cl_1_base_height,cl_1_cloud_type,cl_2_coverage,cl_2_base_height,cl_2_cloud_type,cl_3_coverage,cl_3_base_height,cl_3_cloud_type,solar_irradiance
2019-01-01 00:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,290,,3.1,570,9,30000,9,9,4.7,1035.1,8.2,79.0,6.0,0.0,8.0,396.0,19.0,,,,,,,
2019-01-01 01:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,280,,3.6,600,9,26000,9,9,4.7,1034.7,8.2,79.0,,,,,,,,,,,,
2019-01-01 02:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,280,,2.6,630,9,29000,9,9,4.7,1034.9,8.2,79.0,,,,,,,,,,,,
2019-01-01 03:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,300,,4.1,660,9,35000,9,9,4.4,1034.9,8.3,76.0,,,,,,,,,,,,
2019-01-01 04:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,280,,3.1,660,9,30000,9,9,4.3,1034.9,8.2,76.0,,,,,,,,,,,,
2019-01-01 05:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,290,,3.1,720,9,30000,9,9,4.2,1034.4,7.9,77.0,,,,,,,,,,,,
2019-01-01 06:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,270,,2.6,MISSING,9,30000,9,9,4.0,1034.2,6.9,82.0,12.0,0.0,,,,,,,,,,
2019-01-01 07:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,280,,2.1,MISSING,9,30000,9,9,3.7,1034.6,6.1,85.0,,,,,,,,,,,,
2019-01-01 07:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,250,,1.5,762,C,9999,9,9,4.0,MISSING,5.0,93.0,,,,,,,,,,,,
2019-01-01 08:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,250,,1.5,930,9,30000,9,9,4.2,1035.0,5.3,93.0,,,,,,,,,,,,
2019-01-01 08:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,260,,2.6,640,C,9999,9,9,4.0,MISSING,7.0,81.0,,,,,,,,,,,,
2019-01-01 08:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,280,,2.6,579,C,9999,9,9,4.0,MISSING,7.0,81.0,,,,,,,,,,,,
2019-01-01 09:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,280,,2.6,540,9,30000,9,9,4.6,1035.3,7.2,84.0,,,,,,,,,,,,
2019-01-01 09:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,260,,2.6,579,C,9999,9,9,4.0,MISSING,7.0,81.0,,,,,,,,,,,,
2019-01-01 09:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,270,,3.1,640,C,9999,9,9,5.0,MISSING,8.0,81.0,,,,,,,,,,,,
2019-01-01 10:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,270,,3.6,570,9,35000,9,9,5.2,1035.2,8.3,81.0,,,,,,,,,,,,
2019-01-01 10:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,270,,3.1,762,C,9999,9,9,5.0,MISSING,8.0,81.0,,,,,,,,,,,,
